"dates","cases"
2020-03-11,1
2020-03-12,1
2020-03-13,2
2020-03-14,2
2020-03-15,2
2020-03-16,2
2020-03-17,3
2020-03-18,4
2020-03-19,14
2020-03-20,18
2020-03-21,23
2020-03-22,30
2020-03-23,36
2020-03-24,45
2020-03-25,48
2020-03-26,51
2020-03-27,51
2020-03-28,65
2020-03-29,65
2020-03-30,81
2020-03-31,98
2020-04-01,109
2020-04-02,134
2020-04-03,134
2020-04-04,154
2020-04-05,154
2020-04-06,161
2020-04-07,180
2020-04-08,180
2020-04-09,180
2020-04-10,215
2020-04-11,223
2020-04-12,234
2020-04-13,235
2020-04-14,241
2020-04-15,254
2020-04-16,267
2020-04-17,287
2020-04-18,307
2020-04-19,327
2020-04-20,332
2020-04-21,350
2020-04-22,359
2020-04-23,377
2020-04-24,394
2020-04-25,416
2020-04-26,442
2020-04-27,459
2020-04-28,471
2020-04-29,491
2020-04-30,572
2020-05-01,604
2020-05-02,674
2020-05-03,674
2020-05-04,682
2020-05-05,705
2020-05-06,797
2020-05-07,863
2020-05-08,937
2020-05-09,937
2020-05-10,991
2020-05-11,1024
2020-05-12,1102
2020-05-13,1169
2020-05-14,1242
2020-05-15,1298
2020-05-16,1455
2020-05-17,1455
2020-05-18,1538
2020-05-19,1629
2020-05-20,1731
2020-05-21,1835
2020-05-22,1945
2020-05-23,2025
2020-05-24,2141
2020-05-25,2297
2020-05-26,2403
2020-05-27,2546
2020-05-28,2660
2020-05-29,2833
2020-05-30,2966
2020-05-31,3070
2020-06-01,3195
2020-06-02,3326
2020-06-03,3495
2020-06-04,3644
2020-06-05,3764
2020-06-06,3878
2020-06-07,4016
2020-06-08,4106
2020-06-09,4259
2020-06-10,4390
2020-06-11,4515
2020-06-12,4637
2020-06-13,4724
2020-06-14,4778
2020-06-15,4837
2020-06-16,4974
2020-06-17,5100
2020-06-18,5283
2020-06-19,5477
2020-06-20,5672
2020-06-21,5826
2020-06-22,5924
2020-06-23,6027
2020-06-24,6213
2020-06-25,6411
2020-06-26,6552
2020-06-27,6690
2020-06-28,6827
2020-06-29,6939
2020-06-30,7039
2020-07-01,7122
2020-07-02,7189
2020-07-03,7311
2020-07-04,7379
2020-07-05,7411
2020-07-06,7432
2020-07-07,7432
2020-07-08,7432
2020-07-09,7846
2020-07-10,7905
2020-07-11,7971
2020-07-12,8033
2020-07-13,8075
2020-07-14,8135
2020-07-15,8163
2020-07-16,8199
2020-07-17,8249
2020-07-18,8324
2020-07-19,8403
2020-07-20,8443
2020-07-21,8534
2020-07-22,8626
2020-07-23,8720
2020-07-24,8767
2020-07-25,8801
2020-07-26,8831
2020-07-27,8844
2020-07-28,8873
2020-07-29,8931
2020-07-30,9010
2020-07-31,9070
2020-08-01,9084
2020-08-02,9115
2020-08-03,9133
2020-08-04,9178
2020-08-05,9253
2020-08-06,9309
2020-08-07,9355
2020-08-08,9436
2020-08-09,9454
2020-08-10,9489
2020-08-11,9499
2020-08-12,9538
2020-08-13,9589
2020-08-14,9605
2020-08-15,9638
2020-08-16,9676
2020-08-17,9706
2020-08-18,9721
2020-08-19,9741
2020-08-20,9757
2020-08-21,9802
2020-08-22,9811
2020-08-23,9830
2020-08-24,9842
2020-08-25,9891
2020-08-26,9912
