"dates","cases"
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,3
2020-03-24,3
2020-03-25,11
2020-03-26,11
2020-03-27,12
2020-03-28,14
2020-03-29,18
2020-03-30,18
2020-03-31,30
2020-04-01,33
2020-04-02,40
2020-04-03,49
2020-04-04,50
2020-04-05,59
2020-04-06,90
2020-04-07,90
2020-04-08,135
2020-04-09,135
2020-04-10,150
2020-04-11,187
2020-04-12,214
2020-04-13,298
2020-04-14,363
2020-04-15,435
2020-04-16,591
2020-04-17,732
2020-04-18,732
2020-04-19,846
2020-04-20,846
2020-04-21,945
2020-04-22,974
2020-04-23,986
2020-04-24,999
2020-04-25,1008
2020-04-26,1023
2020-04-27,1035
2020-04-28,1072
2020-04-29,1077
2020-04-30,1089
2020-05-01,1097
2020-05-02,1112
2020-05-03,1112
2020-05-04,1116
2020-05-05,1120
2020-05-06,1124
2020-05-07,1133
2020-05-08,1135
2020-05-09,1189
2020-05-10,1210
2020-05-11,1227
2020-05-12,1256
2020-05-13,1268
2020-05-14,1284
2020-05-15,1309
2020-05-16,1331
2020-05-17,1401
2020-05-18,1518
2020-05-19,1618
2020-05-20,1828
2020-05-21,2047
2020-05-22,2270
2020-05-23,2270
2020-05-24,2270
2020-05-25,2468
2020-05-26,2468
2020-05-27,2697
2020-05-28,2914
2020-05-29,2914
2020-05-30,3194
2020-05-31,3354
2020-06-01,3569
2020-06-02,3779
2020-06-03,3935
2020-06-04,4054
2020-06-05,4123
2020-06-06,4169
2020-06-07,4207
2020-06-08,4278
2020-06-09,4331
2020-06-10,4373
2020-06-11,4398
2020-06-12,4441
2020-06-13,4449
2020-06-14,4465
2020-06-15,4501
2020-06-16,4539
2020-06-17,4545
2020-06-18,4557
2020-06-19,4565
2020-06-20,4565
2020-06-21,4582
2020-06-22,4599
2020-06-23,4617
2020-06-24,4630
2020-06-25,4635
2020-06-26,4643
2020-06-27,4643
2020-06-28,4643
2020-06-29,4656
2020-06-30,4682
2020-07-01,4704
2020-07-02,4715
2020-07-03,4736
2020-07-04,4736
2020-07-05,4792
2020-07-06,4822
2020-07-07,4878
2020-07-08,4889
2020-07-09,4955
2020-07-10,4968
2020-07-11,4968
2020-07-12,4972
2020-07-13,4977
2020-07-14,4979
2020-07-15,4985
2020-07-16,4993
2020-07-17,5003
2020-07-18,5003
2020-07-19,5011
2020-07-20,5020
2020-07-21,5027
2020-07-22,5030
2020-07-23,5031
2020-07-24,5039
2020-07-25,5039
2020-07-26,5050
2020-07-27,5059
2020-07-28,5068
2020-07-29,5081
2020-07-30,5081
2020-07-31,5084
2020-08-01,5084
2020-08-02,5161
2020-08-03,5240
2020-08-04,5248
2020-08-05,5330
2020-08-06,5330
2020-08-07,5338
2020-08-08,5338
2020-08-09,5344
2020-08-10,5347
2020-08-11,5348
2020-08-12,5358
2020-08-13,5358
2020-08-14,5367
2020-08-15,5367
2020-08-16,5369
2020-08-17,5372
2020-08-18,5374
2020-08-19,5374
2020-08-20,5374
2020-08-21,5382
2020-08-22,5382
2020-08-23,5382
2020-08-24,5383
2020-08-25,5383
2020-08-26,5383
2020-08-27,5383
2020-08-28,5383
2020-08-29,5385
2020-08-30,5385
2020-08-31,5387
2020-09-01,5387
2020-09-02,5387
2020-09-03,5387
2020-09-04,5387
2020-09-05,5387
2020-09-06,5388
2020-09-07,5388
2020-09-08,5388
2020-09-09,5391
2020-09-10,5394
2020-09-11,5394
2020-09-12,5394
2020-09-13,5395
2020-09-14,5396
2020-09-15,5396
2020-09-16,5399
2020-09-17,5399
2020-09-18,5403
2020-09-19,5403
2020-09-20,5403
2020-09-21,5404
2020-09-22,5407
2020-09-23,5407
2020-09-24,5407
2020-09-25,5409
2020-09-26,5409
2020-09-27,5409
2020-09-28,5410
2020-09-29,5416
2020-09-30,5416
2020-10-01,5417
2020-10-02,5417
2020-10-03,5418
2020-10-04,5419
2020-10-05,5421
2020-10-06,5423
2020-10-07,5423
2020-10-08,5423
2020-10-09,5423
2020-10-10,5423
2020-10-11,5423
2020-10-12,5426
2020-10-13,5428
2020-10-14,5440
2020-10-15,5443
2020-10-16,5449
