"dates","cases"
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,2
2020-03-10,2
2020-03-11,2
2020-03-12,2
2020-03-13,2
2020-03-14,2
2020-03-15,2
2020-03-16,2
2020-03-17,3
2020-03-18,8
2020-03-19,8
2020-03-20,12
2020-03-21,22
2020-03-22,30
2020-03-23,40
2020-03-24,44
2020-03-25,51
2020-03-26,65
2020-03-27,70
2020-03-28,89
2020-03-29,111
2020-03-30,131
2020-03-31,135
2020-04-01,174
2020-04-02,184
2020-04-03,210
2020-04-04,214
2020-04-05,232
2020-04-06,238
2020-04-07,254
2020-04-08,276
2020-04-09,288
2020-04-10,305
2020-04-11,318
2020-04-12,323
2020-04-13,343
2020-04-14,373
2020-04-15,407
2020-04-16,442
2020-04-17,493
2020-04-18,542
2020-04-19,627
2020-04-20,665
2020-04-21,665
2020-04-22,873
2020-04-23,981
2020-04-24,1095
2020-04-25,1182
2020-04-26,1273
2020-04-27,1337
2020-04-28,1532
2020-04-29,1728
2020-04-30,1932
2020-05-01,2170
2020-05-02,2388
2020-05-03,2558
2020-05-04,2802
2020-05-05,2950
2020-05-06,3145
2020-05-07,3526
2020-05-08,3912
2020-05-09,4151
2020-05-10,4399
2020-05-11,4641
2020-05-12,4787
2020-05-13,4971
2020-05-14,5162
2020-05-15,5450
2020-05-16,5621
2020-05-17,5959
2020-05-18,6175
2020-05-19,6401
2020-05-20,6677
2020-05-21,7016
2020-05-22,7261
2020-05-23,7526
2020-05-24,7839
2020-05-25,8068
2020-05-26,8344
2020-05-27,8733
2020-05-28,8915
2020-05-29,9302
2020-05-30,9855
2020-05-31,10162
2020-06-01,10578
2020-06-02,10819
2020-06-03,11166
2020-06-04,11516
2020-06-05,11844
2020-06-06,12233
2020-06-07,12486
2020-06-08,12801
2020-06-09,13464
2020-06-10,13873
2020-06-11,14554
2020-06-12,15181
2020-06-13,15682
2020-06-14,16085
2020-06-15,16658
2020-06-16,17148
2020-06-17,17735
2020-06-18,18480
2020-06-19,19147
2020-06-20,19808
2020-06-21,20244
2020-06-22,20919
2020-06-23,21371
2020-06-24,22020
2020-06-25,22614
2020-06-26,23298
2020-06-27,24077
2020-06-28,24567
2020-06-29,25133
2020-06-30,25694
2020-07-01,26484
2020-07-02,27110
2020-07-03,27564
2020-07-04,28167
2020-07-05,28711
2020-07-06,29286
2020-07-07,29789
2020-07-08,30249
2020-07-09,30748
2020-07-10,31323
2020-07-11,31987
2020-07-12,32558
2020-07-13,33153
2020-07-14,33616
2020-07-15,34259
2020-07-16,34854
2020-07-17,35454
2020-07-18,36107
2020-07-19,36663
2020-07-20,37225
2020-07-21,37801
2020-07-22,38344
2020-07-23,38948
2020-07-24,39539
2020-07-25,39977
2020-07-26,40532
